3984
1 2 3 4
1 3 10 10
1 4 10 8
1 6 1 10
1 9 3 3
1 10 10 3
1 11 3 8
1 12 2 9
1 14 5 9
1 16 4 5
1 17 9 4
1 18 5 5
1 19 2 6
1 20 6 4
1 22 6 8
1 23 4 10
1 25 5 1
1 26 1 7
1 27 9 1
1 28 4 10
1 29 8 4
1 30 1 9
1 31 4 2
1 32 4 2
1 34 9 4
1 36 8 7
1 37 6 2
1 38 3 5
1 39 5 7
1 40 7 6
1 41 6 5
1 42 9 8
1 43 1 3
1 44 6 5
1 45 5 3
1 47 10 6
1 48 1 8
1 52 7 2
1 53 10 3
1 54 7 3
1 57 3 9
1 58 8 7
1 59 4 9
1 60 6 7
1 61 4 3
1 62 7 4
1 63 9 7
1 64 1 2
1 65 4 1
1 68 9 4
1 69 10 3
1 70 8 9
1 72 3 9
1 73 1 5
1 74 10 8
1 75 2 8
1 76 10 8
1 78 3 9
1 79 4 5
1 80 7 5
1 81 1 4
1 82 1 3
1 83 10 6
1 85 3 10
1 86 10 8
1 87 1 7
1 88 8 6
1 89 6 10
1 90 8 2
1 91 2 2
1 92 8 7
1 93 5 10
1 94 1 6
1 95 7 5
1 96 2 6
1 98 7 9
1 99 10 8
1 100 7 6
2 3 8 10
2 4 5 4
2 7 8 1
2 8 2 1
2 9 10 2
2 10 10 9
2 11 3 9
2 12 6 9
2 13 1 1
2 14 6 4
2 15 9 2
2 17 5 9
2 18 8 4
2 20 4 10
2 21 5 7
2 22 10 10
2 23 9 2
2 24 7 5
2 26 1 9
2 27 10 4
2 28 6 6
2 29 5 5
2 31 2 8
2 33 4 2
2 34 5 8
2 35 2 10
2 36 8 8
2 37 4 10
2 38 6 8
2 39 5 8
2 40 9 7
2 41 1 3
2 42 5 8
2 44 10 10
2 48 1 4
2 49 7 4
2 50 10 10
2 51 5 3
2 52 3 6
2 53 3 6
2 54 2 10
2 55 3 7
2 57 3 6
2 58 5 6
2 59 4 9
2 60 7 7
2 61 3 9
2 63 2 2
2 65 1 1
2 66 8 4
2 68 5 6
2 69 7 1
2 70 7 10
2 71 3 1
2 73 3 2
2 74 10 7
2 76 1 4
2 78 9 6
2 79 5 6
2 81 6 3
2 82 2 10
2 84 2 5
2 85 9 7
2 86 6 8
2 87 2 7
2 90 3 1
2 91 10 2
2 93 1 6
2 94 3 1
2 95 1 8
2 97 9 1
2 98 10 1
3 4 2 7
3 5 3 1
3 6 3 2
3 7 4 10
3 8 1 3
3 10 8 3
3 11 10 4
3 12 7 5
3 13 10 2
3 14 2 6
3 15 10 4
3 16 4 10
3 17 8 2
3 18 3 4
3 19 7 2
3 20 5 5
3 21 10 7
3 23 2 9
3 25 4 3
3 27 5 8
3 28 1 1
3 29 10 9
3 30 6 3
3 32 3 8
3 33 7 3
3 34 9 10
3 35 6 9
3 36 10 4
3 37 8 7
3 39 5 7
3 42 9 3
3 43 9 10
3 44 2 5
3 45 9 10
3 46 3 9
3 49 2 6
3 50 3 7
3 51 6 3
3 52 1 10
3 54 7 3
3 55 3 9
3 56 1 9
3 57 2 5
3 58 1 2
3 59 5 9
3 60 2 3
3 61 10 6
3 62 2 2
3 64 5 8
3 67 3 2
3 68 7 7
3 69 7 5
3 70 1 9
3 71 3 4
3 72 9 4
3 73 3 1
3 74 9 7
3 75 4 5
3 77 1 8
3 78 5 4
3 79 2 8
3 80 4 4
3 83 10 2
3 84 3 6
3 85 4 6
3 86 8 3
3 87 1 5
3 88 9 4
3 90 3 4
3 91 6 10
3 92 1 5
3 93 9 2
3 94 3 3
3 95 7 6
3 96 2 3
3 99 10 1
3 100 9 5
4 5 6 10
4 6 1 10
4 7 1 8
4 8 8 2
4 9 6 5
4 11 4 7
4 12 2 9
4 13 10 10
4 15 1 5
4 16 3 4
4 17 5 10
4 18 5 3
4 19 2 3
4 22 8 3
4 23 5 5
4 24 1 8
4 25 4 3
4 26 1 4
4 28 3 5
4 29 6 5
4 30 9 6
4 31 9 7
4 32 4 9
4 33 10 3
4 36 9 5
4 37 5 6
4 38 10 4
4 39 9 1
4 41 9 9
4 42 3 4
4 43 9 3
4 45 4 7
4 46 6 1
4 47 4 6
4 48 3 2
4 49 7 7
4 50 1 10
4 52 3 8
4 53 7 5
4 54 6 9
4 55 10 9
4 57 2 10
4 58 4 10
4 59 2 5
4 61 10 1
4 62 5 5
4 63 7 4
4 64 4 3
4 65 1 3
4 67 1 4
4 69 4 1
4 70 4 4
4 71 3 4
4 72 7 1
4 73 7 2
4 76 5 9
4 77 8 3
4 78 4 1
4 79 2 6
4 80 6 10
4 81 6 9
4 83 8 8
4 84 2 4
4 85 6 10
4 87 2 6
4 88 4 6
4 90 8 3
4 91 3 5
4 92 8 7
4 93 1 7
4 95 1 10
4 96 2 3
4 97 10 8
4 98 6 4
4 99 1 8
4 100 9 2
5 6 2 5
5 8 1 1
5 9 3 5
5 10 8 7
5 12 7 1
5 13 5 10
5 14 2 3
5 15 7 5
5 17 2 2
5 18 6 9
5 20 9 3
5 21 7 6
5 22 6 3
5 23 5 6
5 24 2 3
5 25 3 1
5 26 8 2
5 28 5 4
